YearStart,YearEnd,LocationAbbr,LocationDesc,Topic,Question
2014,2014,AR,Arkansas,Asthma,Hospitalizations for asthma
2018,2018,CO,Colorado,Asthma,Hospitalizations for asthma
2018,2018,DC,District of Columbia,Asthma,Hospitalizations for asthma
2017,2017,GA,Georgia,Asthma,Hospitalizations for asthma
2010,2010,MI,Michigan,Asthma,Hospitalizations for asthma
2015,2015,MT,Montana,Asthma,Hospitalizations for asthma
2013,2013,OR,Oregon,Asthma,Hospitalizations for asthma
2013,2013,PR,Puerto Rico,Asthma,Hospitalizations for asthma
2017,2017,PR,Puerto Rico,Asthma,Hospitalizations for asthma
2010,2010,WI,Wisconsin,Asthma,Hospitalizations for asthma
2016,2016,WI,Wisconsin,Asthma,Hospitalizations for asthma
2014,2014,AL,Alabama,Asthma,Asthma mortality rate
2015,2015,ID,Idaho,Asthma,Asthma mortality rate
2016,2016,ID,Idaho,Asthma,Asthma mortality rate
2020,2020,IL,Illinois,Asthma,Asthma mortality rate
2012,2012,KS,Kansas,Asthma,Asthma mortality rate
2015,2015,KS,Kansas,Asthma,Asthma mortality rate
2018,2018,KS,Kansas,Asthma,Asthma mortality rate
2017,2017,LA,Louisiana,Asthma,Asthma mortality rate
2017,2017,MA,Massachusetts,Asthma,Asthma mortality rate
2010,2010,MD,Maryland,Asthma,Asthma mortality rate
2014,2014,MD,Maryland,Asthma,Asthma mortality rate
2010,2010,MN,Minnesota,Asthma,Asthma mortality rate
2019,2019,MS,Mississippi,Asthma,Asthma mortality rate
2014,2014,NC,North Carolina,Asthma,Asthma mortality rate
2020,2020,NM,New Mexico,Asthma,Asthma mortality rate
2010,2010,TX,Texas,Asthma,Asthma mortality rate
2011,2011,TX,Texas,Asthma,Asthma mortality rate
2016,2016,TX,Texas,Asthma,Asthma mortality rate
2008,2012,NY,New York,Cancer,"Cancer of the oral cavity and pharynx, mortality"
2009,2013,NY,New York,Cancer,"Cancer of the oral cavity and pharynx, mortality"
2011,2015,NY,New York,Cancer,"Cancer of the oral cavity and pharynx, mortality"
2012,2016,NY,New York,Cancer,"Cancer of the oral cavity and pharynx, mortality"
2012,2016,CO,Colorado,Cancer,"Cancer of the prostate, mortality"
2013,2017,CO,Colorado,Cancer,"Cancer of the prostate, mortality"
2015,2019,DC,District of Columbia,Cancer,"Cancer of the prostate, mortality"
2012,2016,IN,Indiana,Cancer,"Cancer of the prostate, mortality"
2014,2018,NC,North Carolina,Cancer,"Cancer of the prostate, mortality"
2013,2017,NM,New Mexico,Cancer,"Cancer of the prostate, mortality"
2014,2018,NM,New Mexico,Cancer,"Cancer of the prostate, mortality"
2015,2019,NV,Nevada,Cancer,"Cancer of the prostate, mortality"
2008,2012,SC,South Carolina,Cancer,"Cancer of the prostate, mortality"
2008,2012,VA,Virginia,Cancer,"Cancer of the prostate, mortality"
2014,2018,AL,Alabama,Cancer,"Invasive cancer (all sites combined), mortality"
2013,2017,IA,Iowa,Cancer,"Invasive cancer (all sites combined), mortality"
2011,2015,ID,Idaho,Cancer,"Invasive cancer (all sites combined), mortality"
2013,2017,ID,Idaho,Cancer,"Invasive cancer (all sites combined), mortality"
2013,2017,UT,Utah,Cancer,"Invasive cancer (all sites combined), mortality"
2011,2015,WY,Wyoming,Cancer,"Invasive cancer (all sites combined), mortality"
2008,2012,AK,Alaska,Cancer,"Cancer of the female breast, mortality"
2012,2016,CA,California,Cancer,"Cancer of the female breast, mortality"
2010,2014,GA,Georgia,Cancer,"Cancer of the female breast, mortality"
2014,2018,IN,Indiana,Cancer,"Cancer of the female breast, mortality"
2009,2013,MD,Maryland,Cancer,"Cancer of the female breast, mortality"
2009,2013,NV,Nevada,Cancer,"Cancer of the female breast, mortality"
2008,2012,OH,Ohio,Cancer,"Cancer of the female breast, mortality"
2011,2015,US,United States,Cancer,"Cancer of the female breast, mortality"
2011,2015,UT,Utah,Cancer,"Cancer of the female breast, mortality"
2009,2013,VA,Virginia,Cancer,"Cancer of the female breast, mortality"
2012,2016,VA,Virginia,Cancer,"Cancer of the female breast, mortality"
2008,2012,AK,Alaska,Cancer,"Cancer of the female cervix, mortality"
2010,2014,AK,Alaska,Cancer,"Cancer of the female cervix, mortality"
2011,2015,AK,Alaska,Cancer,"Cancer of the female cervix, mortality"
2011,2015,AK,Alaska,Cancer,"Cancer of the female cervix, mortality"
2013,2017,AK,Alaska,Cancer,"Cancer of the female cervix, mortality"
2014,2018,AK,Alaska,Cancer,"Cancer of the female cervix, mortality"
2015,2019,AK,Alaska,Cancer,"Cancer of the female cervix, mortality"
2014,2018,HI,Hawaii,Cancer,"Cancer of the female cervix, mortality"
2015,2019,HI,Hawaii,Cancer,"Cancer of the female cervix, mortality"
2013,2017,KS,Kansas,Cancer,"Cancer of the female cervix, mortality"
2008,2012,OR,Oregon,Cancer,"Cancer of the female cervix, mortality"
2009,2013,OR,Oregon,Cancer,"Cancer of the female cervix, mortality"
2010,2014,OR,Oregon,Cancer,"Cancer of the female cervix, mortality"
2012,2016,OR,Oregon,Cancer,"Cancer of the female cervix, mortality"
2013,2017,OR,Oregon,Cancer,"Cancer of the female cervix, mortality"
2014,2018,OR,Oregon,Cancer,"Cancer of the female cervix, mortality"
2010,2014,US,United States,Cancer,"Cancer of the colon and rectum (colorectal), mortality"
2008,2012,AK,Alaska,Cancer,"Cancer of the lung and bronchus, mortality"
2015,2019,AK,Alaska,Cancer,"Cancer of the lung and bronchus, mortality"
2010,2014,CA,California,Cancer,"Cancer of the lung and bronchus, mortality"
2009,2013,GA,Georgia,Cancer,"Cancer of the lung and bronchus, mortality"
2008,2012,IA,Iowa,Cancer,"Cancer of the lung and bronchus, mortality"
2008,2012,IN,Indiana,Cancer,"Cancer of the lung and bronchus, mortality"
2011,2015,IN,Indiana,Cancer,"Cancer of the lung and bronchus, mortality"
2012,2016,US,United States,Cancer,"Cancer of the lung and bronchus, mortality"
2012,2016,UT,Utah,Cancer,"Cancer of the lung and bronchus, mortality"
2009,2013,WA,Washington,Cancer,"Cancer of the lung and bronchus, mortality"
2012,2016,IL,Illinois,Cancer,"Invasive melanoma, incidence"
2015,2019,MD,Maryland,Cancer,"Invasive melanoma, incidence"
2010,2014,US,United States,Cancer,"Invasive melanoma, incidence"
2011,2015,US,United States,Cancer,"Invasive melanoma, incidence"
2013,2017,US,United States,Cancer,"Invasive melanoma, incidence"
2015,2019,AK,Alaska,Cancer,"Melanoma, mortality"
2012,2016,AL,Alabama,Cancer,"Melanoma, mortality"
2009,2013,AR,Arkansas,Cancer,"Melanoma, mortality"
2011,2015,CA,California,Cancer,"Melanoma, mortality"
2013,2017,CA,California,Cancer,"Melanoma, mortality"
2013,2017,CA,California,Cancer,"Melanoma, mortality"
2011,2015,DC,District of Columbia,Cancer,"Melanoma, mortality"
2014,2018,US,United States,Cancer,"Melanoma, mortality"
2017,2017,IA,Iowa,Chronic Kidney Disease,Mortality with end-stage renal disease
2014,2014,OH,Ohio,Chronic Kidney Disease,Mortality with end-stage renal disease
2012,2012,WY,Wyoming,Chronic Kidney Disease,Mortality with end-stage renal disease
2015,2015,WY,Wyoming,Chronic Kidney Disease,Mortality with end-stage renal disease
2016,2016,OR,Oregon,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis
2017,2017,OR,Oregon,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis
2018,2018,PR,Puerto Rico,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis
2017,2017,SD,South Dakota,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis
2015,2015,TX,Texas,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis
2014,2014,AR,Arkansas,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis
2013,2013,CO,Colorado,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis
2018,2018,DC,District of Columbia,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis
